Candidate,Date,Headline,Snippet
trump,2016-10-03,Trump Defends Tax Payments,"Donald J. Trump said at a campaign rally in Pueblo, Colo., that he had used the country's tax laws to his benefit “as legally required” and hated the way the current administration spends tax dollars."
trump,2016-10-03,Clinton Hits Trump on Taxes,"Hillary Clinton, responding to the New York Times article on Donald J. Trump’s 1995 tax return, told a rally in Toledo, Ohio, that there should be a law requiring major party nominees to release their taxes."
trump,2016-10-03,Donald Trump: Terroristic Man-Toddler,He’s an immature bully who lashes out when he should be embarrassed.
trump,2016-10-03,Donald Trump Says a Strong Defense Against Cyberattacks Is Essential,"Cyberattacks from foreign governments “constitute one of our most critical national security concerns,” Mr. Trump told a group of military veterans in Virginia."
trump,2016-10-03,State Attorney General Orders Trump Foundation to Cease Raising Money in New York,"Eric T. Schneiderman, the attorney general, said a charities bureau had determined that the Donald J. Trump Foundation was not registered to solicit donations under state law."
trump,2016-10-03,9 Times Donald Trump Complained About Taxes,"On Twitter, Mr. Trump has denounced tax avoiders, complained about misuse of his own tax dollars and warned of the significant pain that paying taxes had caused him or others."
trump,2016-10-04,Mr. Trump’s Government Bailout,"No ordinary citizen could benefit from the tax code like Donald Trump did, and his tax proposal would give people like him even more advantages."
trump,2016-10-04,"Trump, Taxes and Citizenship",Citizens enrich society and themselves when they pull their fair share.
trump,2016-10-04,"Gomez Addams, Donald Trump and the Art of Failing","The patriarch of TV’s “The Addams Family” was called a “failure at failing” by his wife. That means he, like Mr. Trump, might have been able to report taxable income of less than zero."
trump,2016-10-04,"The Trump Dialogues, From a Parody Universe",Comedians take their fictional versions of Donald J. Trump’s inner circle to the internet.
trump,2016-10-04,"Better Polling for Clinton, but Trump Is Keeping Core Support",Donald Trump’s strength among white working-class voters continues to offer him a narrow opening to victory.
trump,2016-10-04,Donald Trump’s Business Decisions in ’80s Nearly Led Him to Ruin,Tax forms and public records show how debt that Mr. Trump amassed fueled enormous losses.
trump,2016-10-04,"When It Comes to Tax Avoidance, Donald Trump’s Just a Small Fry","A new study shows how Fortune 500 companies have managed to shelter trillions of dollars in profits offshore from being taxed, leaving Mr. Trump in the dust."
trump,2016-10-04,Trump as ‘Role Model’? Kelly Ayotte Says She Misspoke,"After praising Donald J. Trump during a debate in her Senate race, Ms. Ayotte tried to walk back her remarks, but it did not quiet critics on social media."
trump,2016-10-04,How a Simple Tax Rule Let Donald Trump Turn a $916 Million Loss Into a Plus,"More than 500,000 individual taxpayers took advantage of the same tax rule as Mr. Trump in 1995. Their average loss: just $97,600."
trump,2016-10-04,Vice-Presidential Debate: What You Missed,"Senator Tim Kaine of Virginia and Gov. Mike Pence of Indiana faced off at Longwood University in Farmville, Va., in their only debate."
trump,2016-10-05,A Trumpism of the Left,Could Hillary Clinton’s technocratic party get a celebrity makeover someday?
trump,2016-10-05,Kaine and Pence on Trump’s Taxes,"The vice-presidential candidates, Tim Kaine and Mike Pence, discussed Mr. Trump’s 1995 tax documents, which The Times recently disclosed, and his refusal to release more recent returns."
trump,2016-10-05,Kaine on Pence’s Support of Trump,"Throughout the night, Tim Kaine repeatedly expressed disbelief that Mike Pence would defend various positions of his running mate’s."
trump,2016-10-05,Donald Trump’s Slip in Polls Has G.O.P. Worried About Congress,"With Mr. Trump’s support plunging in swing states, Republican congressional candidates are faced with openly fleeing the nominee to save their own campaigns."
trump,2016-10-05,Trump Says Pence Won the Debate,"Donald J. Trump, the Republican presidential nominee, said in Henderson, Nev., that Mike Pence won the vice-presidential debate and called him a “great Christian.”"
trump,2016-10-05,"After Mike Pence’s Debate Showing, Donald Trump Takes Credit",The Clinton and Trump teams each praised their vice-presidential candidates after the debate between Mike Pence and Tim Kaine.
trump,2016-10-05,Mike Pence’s Defense Strategy: Dodge and Deflect Donald Trump’s Words,"At his debate with Senator Tim Kaine, Mr. Pence seemed to decide that all of the fires that Mr. Trump has set in the past year could not be doused in a single night."
trump,2016-10-05,Why Wouldn’t Tiffany Trump Speak for Herself?,I’m sure she could have handled it. Yet the campaign was subliminally suggesting that somehow she couldn’t.
trump,2016-10-05,Donald Trump as Role Model? G.O.P. Senator ‘Absolutely’ Has Second Thoughts,Senator Kelly Ayotte of New Hampshire found herself apologizing for praising her party’s presidential candidate as a good role model.
trump,2016-10-05,"In Visceral Ads for Hillary Clinton, Donald Trump Does All the Talking","Three Clinton ads depict how young women, children and veterans might respond when shown insults by Mr. Trump, a marked departure from traditional attack ads."
trump,2016-10-06,"Global Trade War, Trump Edition","Why Larry Summers, Robert Reich and other economists think the Republican presidential candidate’s trade policies are ‘lunatic.’"
trump,2016-10-06,Trump’s Deals: Hype and Reality,"Donald J. Trump is a prolific, if controversial, businessman. Here, we examine some of his ventures to find out how they fared. (Pictured: Mr. Trump showing off his home furnishings collection in 2007.)"
trump,2016-10-06,Donald Trump’s Ventures Began With a Lot of Hype. Here’s How They Turned Out.,"Of roughly 60 ventures started or promoted by Mr. Trump, a third did not work out, a third had some success and some problems, and a third met expectations."
trump,2016-10-06,Mike Pence Disavows Donald Trump’s Earlier Proposal Barring Muslims,"Asked during a number of interviews on Thursday about why he will not condemn the Muslim ban now, Mr. Pence said, “Because that’s not Donald Trump’s position now.”"
trump,2016-10-06,Donald Trump Takes Advantage of a Republican Party Pitted Against Itself,"Mr. Trump has fomented divisions that began before he started his campaign, capitalizing on working-class whites’ anger at the party establishment."
trump,2016-10-06,Megyn Kelly and Sean Hannity Indulge in Testy Public Clash,"The two Fox News anchors criticized each other’s treatment of the presidential candidates, with Mr. Hannity accusing Ms. Kelly of supporting Hillary Clinton."
trump,2016-10-06,"The White House Rule: No Tax Returns, No Job","We wouldn’t have let someone with Trump’s returns serve in the cabinet, so how can he be president?"
trump,2016-10-06,Who’s Sorry Now? The Country,Clinton even leads Trump when it comes to apologies.
trump,2016-10-06,"Good, Bad and Mad: Andrew Rosenthal on the News","The Opinion columnist Andrew Rosenthal on the vice-presidential debate, efforts to legalize marijuana and other news."
trump,2016-10-06,"Debates Past, and Debates Future","Readers urge the presidential candidates to go beyond attacks and sound bites, and reflect on the role of faith in the vice-presidential race."
trump,2016-10-07,Letterman Has No Love for ‘Damaged’ Trump,"In an interview, Mr. Letterman gave his thoughts on the Republican presidential nominee and why he considers him “a person to be shunned.”"
trump,2016-10-07,"Balance, Trump and Lies","Is any equivalence of the treatment of Clinton and Trump “false” because they are not compatible, any more than, say, harassment and murder?"
trump,2016-10-07,Donald Trump Apology Caps Day of Outrage Over Lewd Tape,A vulgar discussion recorded in 2005 on a soap opera set added to evidence that Mr. Trump has a record of sexist behavior.
trump,2016-10-07,"A Must-Win Debate for Donald Trump, but Not a Must-Rehearse One","Hillary Clinton and Mr. Trump are getting ready, in their own ways, for Sunday’s town-hall-style debate in St. Louis, with Mr. Trump’s team calling it a must-win."
trump,2016-10-07,"How This Jobs Report Can Help Clinton, and Trump","The numbers are such that Hillary Clinton can argue that the economy continues to improve, and Donald Trump can argue that things haven’t improved enough."
trump,2016-10-07,My Dad Set the Precedent Donald Trump Is Flouting,"In 1967, my father convinced George Romney to release 12 years of tax returns, helping to establish a precedent that Donald J. Trump, so far, has defied."
trump,2016-10-07,When Donald Trump Went to Washington and Got Himself a Tax Break,"In less than two years, a set of provisions was passed that stood to be enormously lucrative to Mr. Trump and the rest of the real estate industry."
trump,2016-10-07,How Donald Trump Uses the Tax Code in Ways You Can’t,"Real estate developers like Donald J. Trump can combine a number of breaks in the tax code to generate large deductions, which could have allowed him to avoid paying any federal income tax for decades."
trump,2016-10-07,The G.O.P. Ticket; Fox News in Chinatown,"A look at how the businessman at the top of the ticket is relying on the professional politician at the bottom. And in New York, a Fox News piece crudely mocks Chinese-Americans."
trump,2016-10-07,How Many Times Have Both Parties Nominated New Yorkers for President?,"The Trump-Clinton campaign bears some, though not too many, similarities to three other New York-centric presidential elections."
trump,2016-10-08,The Sleaziness of Donald Trump,He boasted about assaulting women. Enough.
trump,2016-10-08,Donald Trump’s Apology That Wasn’t,"In a video expressing regret over his lewd comments, Mr. Trump remained defiant, calling the disclosure a “distraction” and used it to renew political and personal attacks on Hillary Clinton."
trump,2016-10-08,"Donald Trump, Groper in Chief",A former business partner recounts her experience with Trump in the 1990s.
trump,2016-10-08,"Tough Donald Trump Coverage, if a Little Late","The paper has offered readers powerful coverage of Donald Trump, but what if it had started doing so earlier in the campaign?"
trump,2016-10-08,Why Republicans Are Probably Stuck With Donald Trump,"Unless he becomes incapacitated or quits, getting rid of him is, legally and logistically, “the equivalent of a triple bank shot.”"
trump,2016-10-08,Donald Trump’s Lewd Comments About Women,"In a 2005 recording obtained by The Washington Post before the presidential election, Donald J. Trump talks about women in vulgar terms to Billy Bush, then the host of “Access Hollywood.”"
trump,2016-10-08,Lewd Donald Trump Tape Is a Breaking Point for Many in the G.O.P.,Pressure built on the candidate to withdraw from the presidential campaign as party leaders urged the G.O.P. to shift its focus to down-ballot contests.
trump,2016-10-08,Those Who Don’t Understand Trump Are Doomed to Repeat Him,"Throughout history, countries have struggled to recover from economic crises, leaving the door open for nationalism and populist leaders."
trump,2016-10-08,Billy Bush Says He’s Ashamed by Lewd Talk With Donald Trump,"Mr. Bush, a cousin of President George W. Bush, said he was “less mature, and acted foolishly“ in a 2005 conversation with Mr. Trump about women."
trump,2016-10-08,Transcript of Donald Trump’s Videotaped Apology,"In a brief video early Saturday, Mr. Trump expressed regret for vulgar comments he made about women in 2005."
trump,2016-10-09,Trump and Clinton’s Second Debate: Analysis,Here’s how we analyzed in real time the second presidential debate between Hillary Clinton and Donald J. Trump.
trump,2016-10-09,How NBC Finished Second on the Trump Video Story,Top NBC officials learned early last week of the video of Donald J. Trump making vulgar remarks about women. But it was The Washington Post that broke the story.
trump,2016-10-09,Donald Trump Vows Retaliation as Republicans Abandon Him,Mr. Trump called the defectors “self-righteous hypocrites” and predicted their defeat at the ballot box.
trump,2016-10-09,Men Say Trump’s Remarks on Sex and Women Are Beyond the Pale,"Men of many backgrounds and parts of the country had varied opinions on how men talk, but they agreed that Mr. Trump’s version was unacceptable."
trump,2016-10-09,"Inside Trump Tower, an Increasingly Upset and Alone Donald Trump","Shunned by many Republicans over his lewd comments about women, Mr. Trump spent most of Friday and Saturday at his headquarters as his advisers pondered his next steps."
trump,2016-10-09,Donald Trump’s Loyalists Aren’t Fleeing the Latest Storm,The Republican candidate’s supporters are apparently standing by him despite the release of a 2005 recording of him speaking about women in vulgar terms.
trump,2016-10-09,Donald Trump Highlights Breitbart Interview With Clinton Accuser,"On Twitter, the Republican candidate pointed to a new interview with Juanita Broaddrick, who claimed in 1999 that Bill Clinton had raped her."
trump,2016-10-09,Utah’s Top Mormons in ‘All-Out Revolt’ Against Donald Trump,Outrage among Republicans about Mr. Trump has allowed Democrats to contemplate what was once unthinkable: taking the state for Hillary Clinton in November.
trump,2016-10-09,"Donald Trump the Showman, Now Caught in the Klieg Lights","Donald J. Trump deftly used the blending of news and entertainment to build a brand, and then a campaign. But all that drama has turned into a big, messy show."
trump,2016-10-09,Donald Trump’s Long Record of Degrading Women,"The candidate has a history of insulting or unwelcome conduct that goes back several decades, The New York Times has found."
trump,2016-10-10,Donald Trump Goes Low,"Sniffing and glowering, Donald Trump prowled behind Hillary Clinton. Once again, she was the only adult on the stage."
trump,2016-10-10,"Donald Trump, Barbarian at the Debate",We have to stop grading this man on a curve.
trump,2016-10-10,"Trump, the Next Big Short","For years, business has wanted someone with corporate experience in the White House. Suddenly, that prospect doesn’t seem so appealing."
trump,2016-10-10,"Trump’s Second Debate, in Brief",He just lies. Relentlessly.
trump,2016-10-10,A Partisan Crowd Watches the Debate at the New Trump Hotel,"Sunday’s debate drew a crowd to the bar of the month-old Trump International Hotel in Washington, where the TVs were turned to Fox and free wine was flowing."
trump,2016-10-10,The Donald Trump We Always Knew,Neither Sunday’s debate nor the 2005 video showed us anything new about the Republican nominee.
trump,2016-10-10,Trump to Clinton: ‘You’d Be in Jail’,"Donald J.Trump told Hillary Clinton during their second presidential debate that if he were elected he would seek a special prosecutor’s investigation of her and that if he were in charge, “You'd be in jail.”"
trump,2016-10-10,"For G.O.P. Candidates, Renouncing Donald Trump Carries Dire Risks","In interviews, many Trump supporters in Arizona and New Hampshire spoke witheringly of incumbents who have withdrawn their support for the party’s presidential nominee."
trump,2016-10-10,Trump and Clinton in Second Presidential Debate,Donald J. Trump and Hillary Clinton faced off in a 90-minute debate filled with unremitting hostility.
trump,2016-10-10,Donald Trump Acknowledges Not Paying Federal Income Taxes for Years,The admission of using a loss to avoid future taxes came in response to a question at Sunday’s debate with Hillary Clinton.
trump,2016-10-11,Trumpism After Trump,"If the American anger and dread that fed Trump’s rise are not addressed, the consequences will be dire."
trump,2016-10-11,"Donald Trump’s Sad, Lonely Life","Politics is an effort to make human connection, but Trump seems incapable of that."
trump,2016-10-11,Male Voters Finally Get Trump,How the Donald Trump tape has had a bigger impact on men.
trump,2016-10-11,Count Trump Among the Takers,He benefited from government without paying his dues.
trump,2016-10-11,Donald Trump Faltering? Die-Hard Fans Refuse to Buy It,"At Mr. Trump’s rallies, the candidate and the crowds draw energy and affirmation from one another, while dismissing any discouraging information."
trump,2016-10-11,Chappatte on Donald Trump and Lady Liberty,"Has he gone too far, at last?"
trump,2016-10-11,Why Donald Trump’s Words Matter,A survivor of rape reflects on the Trump tape.
trump,2016-10-11,Donald Trump Berates Paul Ryan and ‘Disloyal’ Republicans,"On Twitter, Mr. Trump criticized Republicans who had withdrawn support after a recording of him demeaning women became public."
trump,2016-10-11,"Were He Seeking Any Other Job, Trump Would Be Flagged by H.R.","Recordings of his vulgar boasts would make the Republican nominee a major legal liability, and many companies consider such language a firing offense."
trump,2016-10-11,Trump’s Threat to Jail Clinton Also Targets Democracy’s Institutions,"His claim at Sunday’s presidential debate was “a threat to the rule of law,” one political scientist said."
trump,2016-10-12,Donald Trump’s Weird World,The candidate’s willingness to act as a Kremlin apologist is baffling.
trump,2016-10-12,Trump and the Nuclear Keys,Nuclear launch officers count on the president to have sound judgment. That would not be possible under a President Trump.
trump,2016-10-12,Donald Trump’s Scary Election Day Gambit,His warning of a stolen election sounds like an invitation to harass and intimidate minority voters.
trump,2016-10-12,Trump Has Democrats Dreaming,They’ve begun to dream of winning not only the White House and Senate but the House of Representatives too.
trump,2016-10-12,U.N. Official Calls Trump ‘Dangerous’,"The top United Nations human rights commissioner said that if Donald J. Trump is elected, the Republican candidate could be “dangerous, from an international point of view.”"
trump,2016-10-12,Split Over Donald Trump Threatens to Tilt Republican States,Democrats are aiming to run up a big margin of victory for Hillary Clinton and extend their political advantage into the congressional elections next month.
trump,2016-10-12,Some in G.O.P. Who Deserted Donald Trump Over Lewd Tape Are Returning,Several House or Senate members reversed themselves and are again supporting Mr. Trump to try to keep Hillary Clinton out of the White House.
trump,2016-10-12,Two Women Say Donald Trump Touched Them Inappropriately,"The women say they felt compelled to speak after Mr. Trump on Sunday denied ever engaging in such conduct. One says she encountered him on a plane, the other in Trump Tower."
trump,2016-10-12,"Donald Trump Is ‘Dangerous’ for Global Stability, U.N. Rights Chief Says","Zeid Ra’ad al-Hussein, the high commissioner for human rights, doubled down on remarks he gave last month condemning “nationalist demagogues.”"
trump,2016-10-12,"A Senate Hopeful Veers From Republican Mainstream, and Toward Donald Trump","Wendy E. Long, a former Supreme Court clerk and corporate litigator who is seeking to unseat Senator Charles Schumer, said Mr. Trump had shaped much of her current thinking."
trump,2016-10-13,What Donald Trump Is Right About,"Actions count more than words, and his are heinous."
trump,2016-10-13,Trump Versus Twitter,Mr. Trump’s descriptions of sexual assault — and new allegations against him — have inspired inventive social-media responses.
trump,2016-10-13,"Donald Trump, Unshackled and Unhinged","He still has a chance to turn things around, but he’s showing no inclination that he wants to."
trump,2016-10-13,Donald Trump Threatens to Sue The Times Over Article on Unwanted Advances,A lawyer for Mr. Trump denied the allegations of inappropriate touching made by two women in an article on Thursday in The New York Times.
trump,2016-10-13,"Donald Trump, Slipping in Polls, Warns of ‘Stolen Election’","Mr. Trump’s claims highlight concerns that he may not accept a Clinton victory, potentially undermining the legitimacy of the election and the democratic process."
trump,2016-10-13,Donald Trump Calls Allegations by Women ‘False Smears’,Donald Trump said an article in The New York Times about two women who charged that he had inappropriately touched them was a “total fabrication.”
trump,2016-10-13,How to Fix the Tax Code and Close Donald Trump’s Loopholes,"Though the Republican nominee agrees the tax code is unfair, he has proposed nothing to eliminate any of the rules that allowed him to amass a fortune."
trump,2016-10-13,Writer for People Magazine Describes Forced Kiss by Trump,Natasha Stoynoff described the 2005 encounter in an article on the magazine’s website. Mr. Trump denied her story on Twitter.
trump,2016-10-13,"Voice Shaking, Michelle Obama Calls Trump Comments on Women ‘Intolerable’",The first lady exhorted voters in visceral terms to reject Donald J. Trump’s candidacy and back Hillary Clinton as a matter of conscience.
trump,2016-10-13,Women’s Accusations Drag Trump’s Behavior Back to Center Stage,"After he said that his past boasting of contact with women against their will was just “locker room talk,” several women came forward to claim he touched them inappropriately."
trump,2016-11-18,Donald Trump Agrees to Pay $25 Million in Trump University Settlement,"Former students said they were cheated out of thousands of dollars in tuition, and one of the cases was set to go before a jury in 10 days."
trump,2016-11-18,"Donald Trump, After Fits and Starts, Focuses on Foreign Policy","The president-elect met with the prime minister of Japan, Shinzo Abe, and also held meetings with several experts and the Israeli ambassador."
trump,2016-11-18,"Michael Flynn, Anti-Islamist Ex-General, Offered Security Post, Trump Aide Says",The move could put a retired intelligence officer who believes Islamist militancy poses an existential threat in one of the most powerful roles in shaping military and foreign policy.
trump,2016-11-18,Trump Turns to His Right Flank to Fill National Security Posts,"The president-elect on Friday tapped loyalists who reflect the hard-line views of his campaign, though he is also expected to meet with critics such as Mitt Romney."
trump,2016-11-18,Donald Trump Takes Credit for Helping to Save a Ford Plant That Wasn’t Closing,"Mr. Trump wrote on Twitter that he had helped keep a plant in Kentucky. Although Ford had planned to move some work to Mexico, it had intended to keep the factory open."
trump,2016-11-18,Donald Trump’s Team Shows Few Signs of Post-Election Moderation,"The choices of Jeff Sessions as attorney general, Mike Pompeo as C.I.A. director and Michael T. Flynn as national security adviser display a decidedly conservative bent."
trump,2016-11-18,Ivanka Trump’s Presence at Meeting With Japan’s Leader Raises Questions,Ms. Trump’s attendance at the meeting again raised the issue of potential conflicts of interest between Donald J. Trump’s politics and his family’s business ventures.
trump,2016-11-18,Donald Trump Seeks to Delay Action on Spending Bills Until His Term Starts,Speaker Paul D. Ryan said the House would go along with the request and pass a stopgap measure that would keep the government running at current spending levels until March.
trump,2016-11-18,"With National Security Choices, Trump Builds Team to Bulldoze Status Quo","By selecting Jeff Sessions, Mike Pompeo and Michael T. Flynn, Mr. Trump moved to realize his campaign’s vision of relentlessly enforcing immigration laws and viewing Muslims with suspicion."
trump,2016-11-18,Trump Has Called Climate Change a Chinese Hoax. Beijing Says It Is Anything But.,"At a conference in Morocco, a Chinese vice minister pointed out that the administrations of Presidents Ronald Reagan and George Bush supported climate change negotiations."
trump,2016-11-19,Enthusiasm for Trump in Poland Is Tempered by Distrust of Putin,"Europe’s right-wing populists are celebrating Donald J. Trump as a natural ally, but memories of Russian domination during the Soviet era remain raw in Poland."
trump,2016-11-19,"‘Never Trump’ Stalwarts Try to Focus on Policy, Not the Man",Republicans who were part of the opposition to Donald J. Trump have begun to ponder the future of a conservative movement they thought they understood better.
trump,2016-11-19,A Bleak Outlook for Trump’s Promises to Coal Miners,"The president-elect promised jobs, but market forces, automation and pollution concerns may block coal’s comeback."
trump,2016-11-19,Trump Adviser Takes Stake in China Ride-Sharing Company,"John Paulson, a hedge fund billionaire, has invested in Didi Chuxing."
trump,2016-11-19,Diplomats Confront New Threat to Paris Climate Pact: Donald Trump,"Amid Mr. Trump’s calls to withdraw from the accord, some negotiators began planning how to punish the United States if he follows through."
trump,2016-11-19,Ex-General and Critic of Islam to Help Guide Trump in White House,"Michael T. Flynn, the choice for national security adviser, fears that Islamic law is spreading in the United States and sees a “world war” with radical Islam."
trump,2016-11-19,Muslim Americans Speak of Escalating Worries,"President-elect Donald J. Trump’s early personnel selections have compounded fears of discrimination, violence and deportation."
trump,2016-11-19,"Why Democrats Now Need the F.B.I. Director, James Comey","After incurring their wrath for the Clinton email case, some Democrats now say the F.B.I. director could help block G.O.P. efforts to revive banned interrogation techniques."
trump,2016-11-19,"It’s Not Just the White House. Change Is in the Air on Wall St., Too","Since Donald J. Trump’s victory, stock futures, bonds and some stock sectors have reversed themselves, and investors can expect more uncertainty."
trump,2016-11-19,"Oh, No! Donald Trump’s Calling","For an inside track on the new administration, ask a golfer."
trump,2016-11-20,Donald Trump and the Bieber Doctrine,The new American foreign policy seems to be to tell allies they “should go and love yourself.”
trump,2016-11-20,Indian Business Partners Hope to Exploit Their Ties to Donald Trump,A meeting last week with Indian developers highlights the potential for conflict stemming from his businesses and his role as president.
trump,2016-11-20,Donald Trump Meeting Suggests He Is Keeping Up His Business Ties,"The meeting, with Indian executives linked to an apartment tower bearing Mr. Trump’s name, raises questions about how he will separate his business dealings from his politics."
trump,2016-11-20,Alec Baldwin Returns to ‘S.N.L.’ as President-Elect Trump,Mr. Baldwin played a stunned and unprepared president-elect in the cold open of “Saturday Night Live.”
trump,2016-11-20,Obama Tries to Reassure Latin America About a Future With Donald Trump,"President Obama, speaking in Peru to students and young leaders, said it was “important for people around the world to not make immediate judgments.”"
trump,2016-11-20,What Trump’s Climate Legacy Could Look Like,How the president-elect deals with climate change could make him the man who shrunk America or the man who helped save the planet.
trump,2016-11-20,Kanye West Calls Out Beyoncé and Praises Trump in Onstage Tirade,"After playing only three songs, the rapper cut short his “Saint Pablo” show in Sacramento following a 17-minute monologue."
trump,2016-11-20,White Nationalists Celebrate ‘an Awakening’ After Donald Trump’s Victory,"Hundreds of members of an extremist movement, feeling surprised but validated, gathered in Washington to herald a moment of political ascendance."
trump,2016-11-20,Trump Turns Staid Process Into Spectacle as Aspirants Parade to His Door,"President-elect Donald J. Trump hinted strongly that he was considering picking James N. Mattis, a retired Marine Corps general, to be defense secretary."
trump,2016-11-20,‘Hamilton’ Duel: Addressing the President-Elect on His Own Blunt Terms,"In delivering his plea to Mike Pence after the show, the Broadway actor Brandon Victor Dixon was also speaking to Donald J. Trump, meeting directness with directness."
trump,2016-11-21,Trump Foundation Won’t Pay Any of $25 Million University Settlement,Donald Trump’s representatives told New York’s attorney general that no money would come from “any charitable foundation or other charitable entity.”
trump,2016-11-21,"A List of Priorities From Trump, and Kris Kobach Tips His Hand",The stream of job candidates visiting the president-elect continued as transition officials began turning their focus to their economic and domestic policy teams.
trump,2016-11-21,Donald Trump’s Swamp Gets Murkier,A disturbing number of lobbyists and special interest players are joining the transition team.
trump,2016-11-21,Trump Announces Policy Plans,President-elect Donald J. Trump vowed in a YouTube video to focus on creating jobs and reducing regulations as soon as he takes office.
trump,2016-11-21,Melania and Barron Trump Won’t Immediately Move to White House,"They will remain in New York for at least another six months after the inauguration, transition officials said, out of concern for uprooting him in the middle of the school year."
trump,2016-11-21,"Where Donald Trump Stands on School Choice, Student Debt and Common Core","The president-elect has sent mixed signals on education policy, but here is an overview of what schools and universities might expect from his administration."
trump,2016-11-21,How Hard (or Easy) It Will Be for Trump to Fulfill His 100-Day Plan,"He can accomplish some of his promises entirely on his own, but others require Congress or pose other significant obstacles."
trump,2016-11-21,Trump: Making America White Again,The president-elect aims for a country by and for white men.
trump,2016-11-21,Rally in Brooklyn Park Condemns Swastikas and ‘Go Trump’ Graffiti,"At Adam Yauch Park, elected officials and Adam Horovitz of the Beastie Boys spoke out against hate crimes, reports of which have risen in New York City this year."
trump,2016-11-21,Alt-Right Gathering Exults in Trump Election With Nazi-Era Salute,"The alt-right, an extremist fringe popular with white supremacists, has celebrated the election of Donald J. Trump, and now hopes to have the ear of his White House."
trump,2016-11-22,"Trump, on YouTube, Pledges to Create Jobs","Reading from a script in an update on the transition, the president-elect struck a softer tone, avoiding topics like terrorism and immigration."
