Candidate,Date,Headline,Site
trump,2016-11-25,"In Scotland, Trump Built a Wall. Then He Sent Residents the Bill.",New York Times
trump,2016-11-25,Trump Has Options for Undoing Obama’s Climate Legacy,New York Times
trump,2016-11-25,Republicans Divided Between Romney and Giuliani for Secretary of State,New York Times
trump,2016-11-25,Donald Trump and the Lawsuit Presidency,New York Times
trump,2016-11-25,How Trump Won the Troops,New York Times
trump,2016-11-25,Will Donald Trump Destroy the Iran Deal?,New York Times
trump,2016-11-25,Donald Trump Goes to Washington,New York Times
trump,2016-11-25,"With North Korea Looming, Trump May Be Rethinking China Showdown",New York Times
trump,2016-11-25,Donald Trump Adds K.T. McFarland to His National Security Team,New York Times
trump,2016-11-25,Remember When ‘Figaro’ Was Set in Trump Tower?,New York Times
trump,2016-11-26,"Potential Conflicts Around the Globe for Trump, the Businessman President",New York Times
trump,2016-11-26,"‘Vulture’ or ‘Phoenix’? Wilbur Ross, Risk-Taker, Is Eyed for Commerce Post",New York Times
trump,2016-11-26,"U.S. Officials Defend Integrity of Vote, Despite Hacking Fears",New York Times
trump,2016-11-26,Donald Trump’s Caldron of Conflicts,New York Times
trump,2016-11-26,The Soldier Donald Trump Called a Traitor,New York Times
trump,2016-11-26,The Pretend Populism of Donald Trump,New York Times
trump,2016-11-26,Trump’s Next Battle: Keeping These Republican Senators Happy,New York Times
trump,2016-11-26,A Donald Trump-Led Trip Back to the Gold-Plated ’80s,New York Times
trump,2016-11-26,Fate of U.S.-Cuba Thaw Is Less Certain Under Donald Trump,New York Times
trump,2016-11-26,"Trump Leans on Carrier to Keep 2,000 U.S. Jobs From Moving to Mexico",New York Times
trump,2016-11-27,"Trump Claims, With No Evidence, That ‘Millions of People’ Voted Illegally",New York Times
trump,2016-11-27,"Combative, Populist Steve Bannon Found His Man in Donald Trump",New York Times
trump,2016-11-27,Invoking Radicals of America’s Recent Past in a Politically Fraught Present,New York Times
trump,2016-11-27,South Korean Leader Digs In Against Rising Calls for Impeachment,New York Times
trump,2016-11-27,"Fidel Castro, Donald Trump, Cyber Monday: Your Weekend Briefing",New York Times
trump,2016-11-27,"Fidel Castro, François Fillon, Narendra Modi: Your Monday Briefing",New York Times
trump,2016-11-27,"At World Chess Championship, Familiar Overtones of East-West Politics",New York Times
trump,2016-11-27,Obama Expands War With Al Qaeda to Include Shabab in Somalia,New York Times
trump,2016-10-14,Erick Erickson: The G.O.P. After Donald Trump,New York Times
trump,2016-10-14,‘Never Trump.’ But Then What?,New York Times
trump,2016-10-14,Closing Trump’s Tax Loopholes,New York Times
trump,2016-10-14,Who Is to Blame for Trump’s Polling?,New York Times
trump,2016-10-14,Press Tensions at Trump Rallies,New York Times
trump,2016-10-14,Donald Trump vs. a Free Press,New York Times
trump,2016-10-14,"Trump as Champion of Working Class? ‘Come On,’ Obama Says",New York Times
trump,2016-10-14,"Donald Trump Assails His Accusers as Liars, and Unattractive",New York Times
trump,2016-10-14,"After Donald Trump, Will More Women Believe Their Own Stories?",New York Times
trump,2016-10-14,Where’s the Love for Trump? Not in Ads for G.O.P. Candidates,New York Times
trump,2016-10-15,Donald Trump and Other Animals,New York Times
trump,2016-10-15,How to Be a Man in the Age of Trump,New York Times
trump,2016-10-15,Trump Says Allegations Are ‘100% False’,New York Times
