Date,Headline,Snippet,Headline_Cleaned,Snippet_Cleaned,Headline_Keywords,Headline_Stopwords,Headline_Tokens,Sentiment_Values,Sentiment,Snippet_Sentiment_Values,Snippet_Sentiment,Headline_polarity,Snippet_polarity
2016-10-01,Donald Trump Opens New Line of Attack on Hillary Clinton: Her Marriage,"In an interview, Mr. Trump said he was reconsidering whether he would back Mrs. Clinton if she became president.",Donald Trump Opens New Line of Attack on Hillary Clinton: Her Marriage,"In an interview, Mr Trump said he was reconsidering whether he would back Mrs Clinton if she became president","Donald, Trump, Opens, New, Line, Attack, Hillary, Clinton, :, Marriage","of, on, Her","Donald, Trump, Opens, New, Line, of, Attack, on, Hillary, Clinton, :, Her, Marriage","[{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.4767,0.0
2016-10-01,Hillary Clinton and Democrats Raised $154 Million in September,"Her campaign and the party have a combined cash reserve of $150 million, setting them up for a final spending splurge on television ads and outreach.",Hillary Clinton and Democrats Raised $154 Million in September,"Her campaign and the party have a combined cash reserve of $150 million, setting them up for a final spending splurge on television ads and outreach","Hillary, Clinton, Democrats, Raised, $, 154, Million, September","and, in","Hillary, Clinton, and, Democrats, Raised, $, 154, Million, in, September","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.5859}]",neu,0.0,0.5859
2016-10-01,New Hillary Clinton Ads Look to Expand Lead With Hispanic Voters,"The Clinton team has made Hispanic outreach a cornerstone of its advertising, and results are showing: In Florida, a poll shows her as having a 35-point lead.",New Hillary Clinton Ads Look to Expand Lead With Hispanic Voters,"The Clinton team has made Hispanic outreach a cornerstone of its advertising, and results are showing: In Florida, a poll shows her as having a 35-point lead","New, Hillary, Clinton, Ads, Look, Expand, Lead, Hispanic, Voters","to, With","New, Hillary, Clinton, Ads, Look, to, Expand, Lead, With, Hispanic, Voters","[{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}]",neu,"[{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.2732}]",neu,0.3182,0.2732
2016-10-01,How Could Anyone Vote for Trump?,It’s time for Republican leaders to exercise a little leadership.,How Could Anyone Vote for Trump?,It’s time for Republican leaders to exercise a little leadership,"Vote, Trump, ?","How, Could, Anyone, for","How, Could, Anyone, Vote, for, Trump, ?","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-01,Donald Trump Is Seen as Helping Push Asian-Americans Into Democratic Arms,"Asian-Americans are identifying as Democrats at a quicker pace than any other racial group, and many Republicans worry this election is accelerating that trend.",Donald Trump Is Seen as Helping Push Asian-Americans Into Democratic Arms,"Asian-Americans are identifying as Democrats at a quicker pace than any other racial group, and many Republicans worry this election is accelerating that trend","Donald, Trump, Seen, Helping, Push, Asian, -, Americans, Democratic, Arms","Is, as, Into","Donald, Trump, Is, Seen, as, Helping, Push, Asian, -, Americans, Into, Democratic, Arms","[{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}]",neu,"[{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.4404}]",neu,0.296,-0.4404
2016-10-01,Donald Trump’s Pathetic Fraternity,Chris Christie and Rudy Giuliani once had pride. Now they have an orange overlord.,Donald Trump’s Pathetic Fraternity,Chris Christie and Rudy Giuliani once had pride Now they have an orange overlord,"Donald, Trump, Pathetic, Fraternity",’s,"Donald, Trump, ’s, Pathetic, Fraternity","[{'neg': 0.552, 'neu': 0.448, 'pos': 0.0, 'compound': -0.5719}]",neg,"[{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.34}]",neu,-0.5719,0.34
2016-10-01,On the Trail: Week of Sept. 25,Hillary Clinton and Donald J. Trump traded barbs at the first general election debate of 2016 and then hit the road campaigning.,On the Trail: Week of Sept 25,Hillary Clinton and Donald J Trump traded barbs at the first general election debate of 2016 and then hit the road campaigning,"Trail, :, Week, Sept, 25","On, the, of","On, the, Trail, :, Week, of, Sept, 25","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-01,Trump and the Intellectuals,A case for Trump’s ideas that ignores the man himself.,Trump and the Intellectuals,A case for Trump’s ideas that ignores the man himself,"Trump, Intellectuals","and, the","Trump, and, the, Intellectuals","[{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.3818}]",neu,"[{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}]",neu,0.3818,-0.2732
2016-10-01,The Monster Sorority of Women Voters,The danger of focusing on the differences between men and women is that it assumes all women are the same.,The Monster Sorority of Women Voters,The danger of focusing on the differences between men and women is that it assumes all women are the same,"Monster, Sorority, Women, Voters","The, of","The, Monster, Sorority, of, Women, Voters","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.5267}]",neu,0.0,-0.5267
2016-10-02,‘S.N.L.’ Begins a New Season With Alec Baldwin as Donald Trump,"Kate McKinnon returned as Hillary Clinton in the much-anticipated opening sketch, a parody of the first presidential debate.",‘S.N.L.’ Begins a New Season With Alec Baldwin as Donald Trump,"Kate McKinnon returned as Hillary Clinton in the much-anticipated opening sketch, a parody of the first presidential debate","‘, S.N.L., ’, Begins, New, Season, Alec, Baldwin, Donald, Trump","a, With, as","‘, S.N.L., ’, Begins, a, New, Season, With, Alec, Baldwin, as, Donald, Trump","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-02,"Donald Trump, Hillary Clinton, Hoboken: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.,"Donald Trump, Hillary Clinton, Hoboken: Your Weekend Briefing",Here’s what you need to know about the week’s top stories,"Donald, Trump, ,, Hillary, Clinton, ,, Hoboken, :, Weekend, Briefing",Your,"Donald, Trump, ,, Hillary, Clinton, ,, Hoboken, :, Your, Weekend, Briefing","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}]",neu,0.0,0.2023
2016-10-03,Trump’s Fellow Travelers,Profiles in cowardice and fecklessness.,Trump’s Fellow Travelers,Profiles in cowardice and fecklessness,"Trump, Fellow, Travelers",’s,"Trump, ’s, Fellow, Travelers","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-03,"How Hillary Clinton Grappled With Bill Clinton’s Infidelity, and His Accusers",Bill Clinton’s 1992 presidential campaign used aggressive tactics to combat claims about his extramarital conduct. Here is a look at Mrs. Clinton’s role.,"How Hillary Clinton Grappled With Bill Clinton’s Infidelity, and His Accusers",Bill Clinton’s 1992 presidential campaign used aggressive tactics to combat claims about his extramarital conduct Here is a look at Mrs Clinton’s role,"Hillary, Clinton, Grappled, Bill, Clinton, Infidelity, ,, Accusers","How, With, ’s, and, His","How, Hillary, Clinton, Grappled, With, Bill, Clinton, ’s, Infidelity, ,, and, His, Accusers","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4588}]",neu,0.0,-0.4588
2016-10-03,Tim Kaine and Mike Pence Prepare for Vice-Presidential Proxy Fight,"At the debate on Tuesday, the vice-presidential candidates will have to defend their running mates — an especially critical job this time around with such an intense focus on the top of the ticket.",Tim Kaine and Mike Pence Prepare for Vice-Presidential Proxy Fight,"At the debate on Tuesday, the vice-presidential candidates will have to defend their running mates — an especially critical job this time around with such an intense focus on the top of the ticket","Tim, Kaine, Mike, Pence, Prepare, Vice, -, Presidential, Proxy, Fight","and, for","Tim, Kaine, and, Mike, Pence, Prepare, for, Vice, -, Presidential, Proxy, Fight","[{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}]",neu,"[{'neg': 0.073, 'neu': 0.841, 'pos': 0.087, 'compound': -0.1263}]",neu,-0.3818,-0.1263
2016-10-03,Ailing Obama Health Care Act May Have to Change to Survive,"With plans too expensive and inaccessible for many, the law will almost certainly need to evolve. The election is likely to determine how.",Ailing Obama Health Care Act May Have to Change to Survive,"With plans too expensive and inaccessible for many, the law will almost certainly need to evolve The election is likely to determine how","Ailing, Obama, Health, Care, Act, Change, Survive","May, Have, to, to","Ailing, Obama, Health, Care, Act, May, Have, to, Change, to, Survive","[{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4939}]",neu,"[{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2748}]",neu,0.4939,0.2748
2016-10-03,"Donald Trump, Aleppo, FARC: Your Monday Evening Briefing",Here’s what you need to know at the end of the day.,"Donald Trump, Aleppo, FARC: Your Monday Evening Briefing",Here’s what you need to know at the end of the day,"Donald, Trump, ,, Aleppo, ,, FARC, :, Monday, Evening, Briefing",Your,"Donald, Trump, ,, Aleppo, ,, FARC, :, Your, Monday, Evening, Briefing","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-03,"Donald Trump, FARC, Ryder Cup: Your Monday Briefing",Here’s what you need to know to start your day.,"Donald Trump, FARC, Ryder Cup: Your Monday Briefing",Here’s what you need to know to start your day,"Donald, Trump, ,, FARC, ,, Ryder, Cup, :, Monday, Briefing",Your,"Donald, Trump, ,, FARC, ,, Ryder, Cup, :, Your, Monday, Briefing","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-03,Civil Conversation Challenge for Teenagers | Issue 1: Immigration,Do you believe that immigrants coming to the United States make American society better or worse in the long run?,Civil Conversation Challenge for Teenagers | Issue 1: Immigration,Do you believe that immigrants coming to the United States make American society better or worse in the long run?,"Civil, Conversation, Challenge, Teenagers, |, Issue, 1, :, Immigration",for,"Civil, Conversation, Challenge, for, Teenagers, |, Issue, 1, :, Immigration","[{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}]",neu,"[{'neg': 0.12, 'neu': 0.659, 'pos': 0.221, 'compound': 0.3818}]",neu,0.0772,0.3818
2016-10-03,"In Upstate Congressional Race, a ‘Classic Boxers’ Match’ That Is Virtually Tied","In some ways, the race in New York’s 19th District — between the Republican John J. Faso and the Democrat Zephyr Teachout — is the presidential race turned inside out.","In Upstate Congressional Race, a ‘Classic Boxers’ Match’ That Is Virtually Tied","In some ways, the race in New York’s 19th District — between the Republican John J Faso and the Democrat Zephyr Teachout — is the presidential race turned inside out","Upstate, Congressional, Race, ,, ‘, Classic, Boxers, ’, Match, ’, Virtually, Tied","In, a, That, Is","In, Upstate, Congressional, Race, ,, a, ‘, Classic, Boxers, ’, Match, ’, That, Is, Virtually, Tied","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-03,Mitch McConnell and Paul Ryan Are of Two Minds About Divided Government,"The next president will test either Senator Mitch McConnell’s belief that bipartisanship can lead to significant progress, or Speaker Paul D. Ryan’s preference for single-party control.",Mitch McConnell and Paul Ryan Are of Two Minds About Divided Government,"The next president will test either Senator Mitch McConnell’s belief that bipartisanship can lead to significant progress, or Speaker Paul D Ryan’s preference for single-party control","Mitch, McConnell, Paul, Ryan, Minds, Divided, Government","and, Are, of, Two, About","Mitch, McConnell, and, Paul, Ryan, Are, of, Two, Minds, About, Divided, Government","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.5574}]",neu,0.0,0.5574
2016-10-03,Florida’s Changing Latino Population Veers From G.O.P.,"For decades, being Latino in Florida almost always meant being Republican. But the demographic mix is changing, and many now register as Democrats or independents.",Florida’s Changing Latino Population Veers From G.O.P,"For decades, being Latino in Florida almost always meant being Republican But the demographic mix is changing, and many now register as Democrats or independents","Florida, Changing, Latino, Population, Veers, G.O.P","’s, From","Florida, ’s, Changing, Latino, Population, Veers, From, G.O.P","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-04,"Better Polling for Clinton, but Trump Is Keeping Core Support",Donald Trump’s strength among white working-class voters continues to offer him a narrow opening to victory.,"Better Polling for Clinton, but Trump Is Keeping Core Support",Donald Trump’s strength among white working-class voters continues to offer him a narrow opening to victory,"Better, Polling, Clinton, ,, Trump, Keeping, Core, Support","for, but, Is","Better, Polling, for, Clinton, ,, but, Trump, Is, Keeping, Core, Support","[{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.6705}]",compound,"[{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}]",neu,0.6705,0.4939
2016-10-04,A Look at Clinton’s Marriage Woes Raises a Question: Really?,"A case can be made, perhaps, for a close look at how Hillary Clinton responded to her husband’s infidelity. But not for this particular story.",A Look at Clinton’s Marriage Woes Raises a Question: Really?,"A case can be made, perhaps, for a close look at how Hillary Clinton responded to her husband’s infidelity But not for this particular story","Look, Clinton, Marriage, Woes, Raises, Question, :, ?","A, at, ’s, a, Really","A, Look, at, Clinton, ’s, Marriage, Woes, Raises, a, Question, :, Really, ?","[{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.4404,0.0
2016-10-04,"The Trump Dialogues, From a Parody Universe",Comedians take their fictional versions of Donald J. Trump’s inner circle to the internet.,"The Trump Dialogues, From a Parody Universe",Comedians take their fictional versions of Donald J Trump’s inner circle to the internet,"Trump, Dialogues, ,, Parody, Universe","The, From, a","The, Trump, Dialogues, ,, From, a, Parody, Universe","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.296}]",neu,0.0,0.296
2016-10-04,Hillary Clinton’s Lonesome White Male Supporters,"They’re awash in Trump fans, who are not shy about their disdain for the Democratic nominee.",Hillary Clinton’s Lonesome White Male Supporters,"They’re awash in Trump fans, who are not shy about their disdain for the Democratic nominee","Hillary, Clinton, Lonesome, White, Male, Supporters",’s,"Hillary, Clinton, ’s, Lonesome, White, Male, Supporters","[{'neg': 0.266, 'neu': 0.426, 'pos': 0.309, 'compound': 0.1027}]",neu,"[{'neg': 0.165, 'neu': 0.743, 'pos': 0.092, 'compound': -0.3313}]",neu,0.1027,-0.3313
2016-10-04,Third-Party Voters Know What They Want,And they don’t want to be told they will bear responsibility for President Trump. That would be the fault of the two-party system they despise.,Third-Party Voters Know What They Want,And they don’t want to be told they will bear responsibility for President Trump That would be the fault of the two-party system they despise,"-, Party, Voters, Know, Want","Third, What, They","Third, -, Party, Voters, Know, What, They, Want","[{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}]",neu,"[{'neg': 0.18, 'neu': 0.775, 'pos': 0.046, 'compound': -0.5859}]",neu,0.0772,-0.5859
2016-10-04,"With Tim Kaine and Mike Pence, Faith Is Back in the Mix",This campaign has largely been absent of the social issues that were at the heart of the country’s political divide for decades. That might change at Tuesday’s vice-presidential debate.,"With Tim Kaine and Mike Pence, Faith Is Back in the Mix",This campaign has largely been absent of the social issues that were at the heart of the country’s political divide for decades That might change at Tuesday’s vice-presidential debate,"Tim, Kaine, Mike, Pence, ,, Faith, Mix","With, and, Is, Back, in, the","With, Tim, Kaine, and, Mike, Pence, ,, Faith, Is, Back, in, the, Mix","[{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.4215,0.0
2016-10-04,Trump as ‘Role Model’? Kelly Ayotte Says She Misspoke,"After praising Donald J. Trump during a debate in her Senate race, Ms. Ayotte tried to walk back her remarks, but it did not quiet critics on social media.",Trump as ‘Role Model’? Kelly Ayotte Says She Misspoke,"After praising Donald J Trump during a debate in her Senate race, Ms Ayotte tried to walk back her remarks, but it did not quiet critics on social media","Trump, ‘, Role, Model, ’, ?, Kelly, Ayotte, Says, Misspoke","as, She","Trump, as, ‘, Role, Model, ’, ?, Kelly, Ayotte, Says, She, Misspoke","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.5547}]",neu,0.0,0.5547
2016-10-04,"Julian Assange, WikiLeaks Founder, Promises Raft of Revelations","On his organization’s 10th anniversary, he vowed to release “significant material” about a range of issues, including the U.S. election.","Julian Assange, WikiLeaks Founder, Promises Raft of Revelations","On his organization’s 10th anniversary, he vowed to release “significant material” about a range of issues, including the U.S election","Julian, Assange, ,, WikiLeaks, Founder, ,, Promises, Raft, Revelations",of,"Julian, Assange, ,, WikiLeaks, Founder, ,, Promises, Raft, of, Revelations","[{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.3818}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.3818,0.0
2016-10-04,Senator Kaine and Gov. Pence: Face-Off in Farmville!,"O.K., it won’t rival the Trump-Clinton rumble for excitement, but the vice-presidential debate could be an important comparison of policy visions.",Senator Kaine and Gov Pence: Face-Off in Farmville!,"O.K., it won’t rival the Trump-Clinton rumble for excitement, but the vice-presidential debate could be an important comparison of policy visions","Senator, Kaine, Gov, Pence, :, Face, -, Farmville, !","and, Off, in","Senator, Kaine, and, Gov, Pence, :, Face, -, Off, in, Farmville, !","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.6858}]",neu,0.0,0.6858
2016-10-04,"Speak Up, Mr. Vice Presidential Candidate. We Can Barely Hear You.","For Tim Kaine and Mike Pence, nothing can be said to be certain, except debate and taxes.","Speak Up, Mr Vice Presidential Candidate We Can Barely Hear You","For Tim Kaine and Mike Pence, nothing can be said to be certain, except debate and taxes","Speak, ,, Mr, Vice, Presidential, Candidate, Barely, Hear","Up, We, Can, You","Speak, Up, ,, Mr, Vice, Presidential, Candidate, We, Can, Barely, Hear, You","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.2732}]",neu,0.0,0.2732
2016-10-05,"In Visceral Ads for Hillary Clinton, Donald Trump Does All the Talking","Three Clinton ads depict how young women, children and veterans might respond when shown insults by Mr. Trump, a marked departure from traditional attack ads.","In Visceral Ads for Hillary Clinton, Donald Trump Does All the Talking","Three Clinton ads depict how young women, children and veterans might respond when shown insults by Mr Trump, a marked departure from traditional attack ads","Visceral, Ads, Hillary, Clinton, ,, Donald, Trump, Talking","In, for, Does, All, the","In, Visceral, Ads, for, Hillary, Clinton, ,, Donald, Trump, Does, All, the, Talking","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.7096}]",neu,0.0,-0.7096
2016-10-05,Donald Trump as Role Model? G.O.P. Senator ‘Absolutely’ Has Second Thoughts,Senator Kelly Ayotte of New Hampshire found herself apologizing for praising her party’s presidential candidate as a good role model.,Donald Trump as Role Model? G.O.P Senator ‘Absolutely’ Has Second Thoughts,Senator Kelly Ayotte of New Hampshire found herself apologizing for praising her party’s presidential candidate as a good role model,"Donald, Trump, Role, Model, ?, G.O.P, Senator, ‘, Absolutely, ’, Second, Thoughts","as, Has","Donald, Trump, as, Role, Model, ?, G.O.P, Senator, ‘, Absolutely, ’, Has, Second, Thoughts","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.055, 'neu': 0.675, 'pos': 0.27, 'compound': 0.7269}]",compound,0.0,0.7269
2016-10-05,A Trumpism of the Left,Could Hillary Clinton’s technocratic party get a celebrity makeover someday?,A Trumpism of the Left,Could Hillary Clinton’s technocratic party get a celebrity makeover someday?,"Trumpism, Left","A, of, the","A, Trumpism, of, the, Left","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}]",neu,0.0,0.4019
2016-10-05,The Editorialists Have Spoken; Will Voters Listen?,"Newspaper and magazine editorials denouncing Donald J. Trump keep coming, the latest being a rare presidential endorsement by The Atlantic magazine.",The Editorialists Have Spoken; Will Voters Listen?,"Newspaper and magazine editorials denouncing Donald J Trump keep coming, the latest being a rare presidential endorsement by The Atlantic magazine","Editorialists, Spoken, ;, Voters, Listen, ?","The, Have, Will","The, Editorialists, Have, Spoken, ;, Will, Voters, Listen, ?","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}]",neu,0.0,0.3182
2016-10-05,"Hashtags, Polls and Putin: Aftermath of the Vice-Presidential Debate","“That Mexican thing” pops up on social media, a new poll shows a tight race in Ohio, and the Republican ticket appears split over how to handle the Russian president.","Hashtags, Polls and Putin: Aftermath of the Vice-Presidential Debate","“That Mexican thing” pops up on social media, a new poll shows a tight race in Ohio, and the Republican ticket appears split over how to handle the Russian president","Hashtags, ,, Polls, Putin, :, Aftermath, Vice, -, Presidential, Debate","and, of, the","Hashtags, ,, Polls, and, Putin, :, Aftermath, of, the, Vice, -, Presidential, Debate","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-05,Fact Checks of the Vice-Presidential Debate,Reporters for The New York Times fact-checked the statements made by Senator Tim Kaine and Gov. Mike Pence during Tuesday’s vice-presidential debate.,Fact Checks of the Vice-Presidential Debate,Reporters for The New York Times fact-checked the statements made by Senator Tim Kaine and Gov Mike Pence during Tuesday’s vice-presidential debate,"Fact, Checks, Vice, -, Presidential, Debate","of, the","Fact, Checks, of, the, Vice, -, Presidential, Debate","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-05,Donald Trump’s Slip in Polls Has G.O.P. Worried About Congress,"With Mr. Trump’s support plunging in swing states, Republican congressional candidates are faced with openly fleeing the nominee to save their own campaigns.",Donald Trump’s Slip in Polls Has G.O.P Worried About Congress,"With Mr Trump’s support plunging in swing states, Republican congressional candidates are faced with openly fleeing the nominee to save their own campaigns","Donald, Trump, Slip, Polls, G.O.P, Worried, Congress","’s, in, Has, About","Donald, Trump, ’s, Slip, in, Polls, Has, G.O.P, Worried, About, Congress","[{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}]",neu,"[{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.7096}]",neu,-0.296,0.7096
2016-10-05,"When You Hear the Margin of Error Is Plus or Minus 3 Percent, Think 7 Instead","There are many ways, besides the well-known sampling error, to get things wrong in polling.","When You Hear the Margin of Error Is Plus or Minus 3 Percent, Think 7 Instead","There are many ways, besides the well-known sampling error, to get things wrong in polling","Hear, Margin, Error, Plus, Minus, 3, Percent, ,, Think, 7, Instead","When, You, the, of, Is, or","When, You, Hear, the, Margin, of, Error, Is, Plus, or, Minus, 3, Percent, ,, Think, 7, Instead","[{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}]",neu,"[{'neg': 0.309, 'neu': 0.691, 'pos': 0.0, 'compound': -0.7003}]",neu,-0.4019,-0.7003
2016-10-05,Questions for: ‘Tim Kaine and Mike Pence Clash Sharply Over Their Running Mates’,What points did each candidate try to drive home about their running mates’ policies and character?,Questions for: ‘Tim Kaine and Mike Pence Clash Sharply Over Their Running Mates’,What points did each candidate try to drive home about their running mates’ policies and character?,"Questions, :, ‘, Tim, Kaine, Mike, Pence, Clash, Sharply, Running, Mates, ’","for, and, Over, Their","Questions, for, :, ‘, Tim, Kaine, and, Mike, Pence, Clash, Sharply, Over, Their, Running, Mates, ’","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-05,Mike Pence’s Fantasy Running Mate,His Donald Trump bore little resemblance to reality.,Mike Pence’s Fantasy Running Mate,His Donald Trump bore little resemblance to reality,"Mike, Pence, Fantasy, Running, Mate",’s,"Mike, Pence, ’s, Fantasy, Running, Mate","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.25}]",neu,0.0,-0.25
2016-10-06,Pro-Trump Group to Release Ads as Part of Major Swing State Effort,"45Committee is connected to the family of Todd Ricketts, a Republican donor who was once part of the so-called Never Trump movement.",Pro-Trump Group to Release Ads as Part of Major Swing State Effort,"45Committee is connected to the family of Todd Ricketts, a Republican donor who was once part of the so-called Never Trump movement","Pro, -, Trump, Group, Release, Ads, Major, Swing, State, Effort","to, as, Part, of","Pro, -, Trump, Group, to, Release, Ads, as, Part, of, Major, Swing, State, Effort","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-10-06,Want to Know the Crucial Areas for Clinton? Follow Michelle Obama,"The popular first lady, who limits her campaign appearances, is being dispatched to places and constituencies where the campaign is facing the greatest pressure.",Want to Know the Crucial Areas for Clinton? Follow Michelle Obama,"The popular first lady, who limits her campaign appearances, is being dispatched to places and constituencies where the campaign is facing the greatest pressure","Want, Know, Crucial, Areas, Clinton, ?, Follow, Michelle, Obama","to, the, for","Want, to, Know, the, Crucial, Areas, for, Clinton, ?, Follow, Michelle, Obama","[{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.0772}]",neu,"[{'neg': 0.073, 'neu': 0.695, 'pos': 0.232, 'compound': 0.7003}]",compound,0.0772,0.7003
